id|random_number
0|0.7560873843067879
1|0.47297918541247974
2|0.38074322341433586
3|0.8535759000360877
4|0.27968917920509273
5|0.44567253207724367
6|0.4826460538919729
7|0.9496869332807129
8|0.18320173700252407
9|0.3746814866344047
10|0.5729293182960105
11|0.3592838864504777
12|0.8056959387526911
13|0.8182877054016713
14|0.011085723718911589
15|0.6996768882262789
16|0.013672966055609304
17|0.36437536045029495
18|0.556497556382251
19|0.975926358547518
20|0.8210713113340667
21|0.4214967369605901
22|0.004186286896899372
23|0.19539356404466024
24|0.868824911167828
25|0.42548757847044505
26|0.660175432928941
27|0.7765851899287689
28|0.12967702115094337
29|0.6546111072100013
30|0.337270140259032
31|0.9564506499951342
32|0.19857092557884015
33|0.492699487166265
34|0.5153098529557071
35|0.28758020499755044
36|0.5982325124452502
37|0.9883415695086735
38|0.1105249899317935
39|0.5476182260007386
40|0.23405707333135772
41|0.7304363247915021
42|0.22046301450096384
43|0.7296583155948869
44|0.033352653450524405
45|0.27074477649097795
46|0.5033300637369215
47|0.43562274985406035
48|0.8050996869745052
49|0.817508944008653
50|0.6870918945044824
51|0.40149074050249267
52|0.030834780866776157
53|0.9663563712558166
54|0.0977364906075111
55|0.98700310678084
56|0.347703986374562
57|0.18413940462102873
58|0.044111324634204196
59|0.31050938143371754
60|0.25398439866837386
61|0.18900177749497904
62|0.6724705151536083
63|0.7604796773519837
64|0.007477345932345947
65|0.3927451968157126
66|0.6339125258054674
67|0.5940118474340224
68|0.025363244780155725
69|0.9879652748931744
70|0.6979064871439726
71|0.0628965012168905
72|0.8836621488017193
73|0.5238835890075099
74|0.8726567291663957
75|0.4776420792782087
76|0.33299859106717133
77|0.5908079316261758
78|0.2899064240559921
79|0.7566504067250325
80|0.117729461486352
81|0.2440460727510928
82|0.35955180525685837
83|0.0536800069277249
84|0.07560365680277692
85|0.6924858188474938
86|0.6736177577482569
87|0.657352849460024
88|0.29122227077930074
89|0.7686902208323747
90|0.7586168541844345
91|0.9257476667725316
92|0.2837080558047028
93|0.10715480824100221
94|0.4244479773261971
95|0.7247568869223446
96|0.3031682546243937
97|0.8009028029295541
98|0.23585780213424246
99|0.7981017051603426
100|0.13549354771424005
101|0.44242929515962637
102|0.5537226202239713
103|0.40120102929550905
104|0.2775407425025517
105|0.29423843297327423
106|0.5429220430031905
107|0.060746093830179815
108|0.882281118968912
109|0.4006737131467274
110|0.31760502091268017
111|0.5363185563761242
112|0.6982346249100382
113|0.8171473684525428
114|0.9144675391515328
115|0.6728452035986249
116|0.21975116357103675
117|0.8134005448058812
118|0.17686842963648153
119|0.1976635902135142
120|0.16928565555456665
121|0.4026574298820107
122|0.9788528914928667
123|0.2778613638310986
124|0.4364467636802867
125|0.27514205694876237
126|0.26766241953667
127|0.3577945338963807
128|0.23795288064362896
129|0.7997464609466378
130|0.48628669852735906
131|0.7830757670973911
132|0.9753724795189305
133|0.6831292985667768
134|0.6140024473350271
135|0.08430186111162785
136|0.97551992244075
137|0.885856382622284
138|0.0751973951821463
139|0.9098956614363313
140|0.675568100434999
141|0.3050662017385539
142|0.2203303917625823
143|0.4435212586752335
144|0.7583912967011405
145|0.583031496737335
146|0.09584989346681339
147|0.19665273641883452
148|0.8977098367869276
149|0.6310106000751307
150|0.22181765296830613
151|0.9926193136047363
152|0.9996090408648932
153|0.7820037623185477
154|0.663807729231693
155|0.602079355246102
156|0.12394548517918635
157|0.025296317931510215
158|0.732745388661147
159|0.9549970264452265
160|0.21841348437171404
161|0.15364982633363444
162|0.5954870504938687
163|0.9641536439259704
164|0.4548456712396167
165|0.258727453970932
166|0.5687774177215551
167|0.8650472055356192
168|0.1296509563298156
169|0.5422264245902212
170|0.8190447990768446
171|0.13739793640500597
172|0.0045745874721840885
173|0.053631273457530604
174|0.9141871075772741
175|0.9465689394339797
176|0.4621684964877474
177|0.5698445008937116
178|0.41777821355924427
179|0.3491529507273182
180|0.03335736893724728
181|0.12294813547941985
182|0.6774099605367737
183|0.18988176691722125
